character1,character2,lyric,song,act
JEFFERSON,MADISON,Oww,Cabinet Battle,2
JEFFERSON,MADISON,You don't have the votes,Cabinet Battle,2
JEFFERSON,MADISON,You're gonna need congressional approval and you don't have the votes,Cabinet Battle,2
ELIZA,PHILIP,One two three four five six seven eight nine!,Take a Break,2
HAMILTON,ANGELICA,"And there you are, an ocean away",Take a Break,2
HAMILTON,ANGELICA,Do you have to live an ocean away?,Take a Break,2
HAMILTON,ANGELICA,Thoughts of you subside,Take a Break,2
HAMILTON,ANGELICA,Then I get another letter,Take a Break,2
HAMILTON,ANGELICA,I cannot put the notion away...,Take a Break,2
HAMILTON,ANGELICA,"""""""My dearest Angelica""""""",Take a Break,2
HAMILTON,ANGELICA,"""""""My dearest, Angelica.""""""",Take a Break,2
HAMILTON,ANGELICA,You won't be an ocean away,Take a Break,2
HAMILTON,ANGELICA,You will only be a moment away...,Take a Break,2
ELIZA,ANGELICA,Take a break,Take a Break,2
ELIZA,ANGELICA,Run away with us for the summer,Take a Break,2
ELIZA,ANGELICA,Let's go upstate,Take a Break,2
ELIZA,ANGELICA,We can all go stay with our father,Take a Break,2
HAMILTON,JEFFERSON,"What do you want, Burr?",The Room Where it Happens,2
HAMILTON,MADISON,"What do you want, Burr?",The Room Where it Happens,2
HAMILTON,WASHINGTON,"What do you want, Burr?",The Room Where it Happens,2
JEFFERSON,MADISON,"What do you want, Burr?",The Room Where it Happens,2
JEFFERSON,WASHINGTON,"What do you want, Burr?",The Room Where it Happens,2
MADISON,WASHINGTON,"What do you want, Burr?",The Room Where it Happens,2
HAMILTON,JEFFERSON,"What do you want, Burr?",The Room Where it Happens,2
HAMILTON,MADISON,"What do you want, Burr?",The Room Where it Happens,2
HAMILTON,WASHINGTON,"What do you want, Burr?",The Room Where it Happens,2
JEFFERSON,MADISON,"What do you want, Burr?",The Room Where it Happens,2
JEFFERSON,WASHINGTON,"What do you want, Burr?",The Room Where it Happens,2
